date;Ubat;Usol;temp;hum
2021-09-28 15:21:09;0;5095;25.60;56.30
2021-09-28 15:22:18;0;4681;25.70;56.80
2021-09-28 15:23:13;0;4964;25.60;57.00
2021-09-28 15:24:19;0;4798;25.60;56.90
2021-09-28 15:25:23;0;4369;25.70;56.30
2021-09-28 15:25:59;0;4529;25.70;56.40
2021-09-28 15:27:03;0;4413;25.70;56.60
2021-09-28 15:28:18;0;4877;25.70;56.40
2021-09-28 15:28:26;0;4879;25.70;56.50
2021-09-28 15:28:32;0;4932;25.60;61.20
2021-09-28 15:28:38;0;4920;25.70;63.20
2021-09-28 15:29:42;0;4958;25.70;58.90
2021-09-28 15:32:30;0;4883;25.70;54.80
2021-09-28 15:33:15;0;0;25.70;55.70
2021-09-28 15:33:33;0;0;25.80;56.00
2021-09-28 15:35:02;0;0;25.80;60.40
2021-09-28 15:35:37;0;0;25.80;55.40
2021-09-28 15:36:06;0;4786;25.80;58.00
2021-09-28 15:36:30;0;4777;25.80;57.00
2021-09-28 15:36:54;0;4696;25.90;55.60
2021-09-28 15:37:46;0;4659;25.90;54.90
2021-09-28 15:37:52;0;4665;25.90;56.20
2021-09-28 15:38:02;0;4681;25.90;56.80
2021-09-28 15:39:40;0;4691;25.90;60.80
2021-09-28 15:39:49;0;4668;26.00;56.00
2021-09-28 15:40:56;0;4651;25.90;56.50
2021-09-28 15:42:00;0;4640;25.90;55.70
2021-09-28 15:42:58;0;4638;25.90;55.40
2021-09-28 15:43:49;0;4619;25.90;54.70
2021-09-28 15:44:53;0;4601;25.80;55.50
2021-09-28 15:45:56;0;4586;25.80;55.20
2021-09-28 15:47:00;0;4565;25.90;55.50
2021-09-28 15:48:04;0;4552;25.80;55.40
2021-09-28 15:49:08;0;4524;25.80;55.60
2021-09-28 15:50:12;0;4496;25.70;55.90
2021-09-28 15:51:15;0;4475;25.80;55.90
2021-09-28 15:52:19;0;4457;25.80;55.40
2021-09-28 15:53:18;0;4454;25.70;55.10
2021-09-28 16:32:56;0;3884;25.40;56.60
2021-09-28 16:33:31;0;3905;25.50;55.40
2021-09-28 16:34:17;0;3872;25.50;55.70
2021-09-28 16:34:36;0;3865;25.50;55.50
2021-09-28 16:34:50;0;3860;25.50;55.50
2021-09-28 16:35:54;0;3844;25.50;57.10
2021-09-28 16:37:00;0;3953;25.60;55.00
2021-09-28 16:37:07;0;3946;25.70;55.50
2021-09-28 16:37:50;0;3919;25.60;55.40
2021-09-28 16:38:02;0;3914;25.60;55.40
2021-09-28 16:38:13;0;3907;25.60;55.60
2021-09-28 16:39:35;0;3482;25.60;56.10
2021-09-28 16:39:48;0;3492;25.60;55.70
2021-09-28 16:40:52;0;3796;25.60;55.40
2021-09-28 16:41:50;0;3795;25.70;54.80
2021-09-28 16:41:57;0;3777;25.70;55.10
2021-09-28 16:43:01;0;3756;25.60;55.20
2021-09-28 16:43:09;0;3770;25.70;55.90
2021-09-28 16:43:15;0;3770;25.70;55.80
2021-09-28 16:43:50;0;3703;25.60;55.80
2021-09-28 16:43:56;0;3687;25.70;55.80
2021-09-28 16:45:00;0;3636;25.70;55.20
2021-09-28 16:46:03;0;3636;25.70;54.50
2021-09-28 16:47:07;0;3640;25.70;54.70
2021-09-28 16:47:36;0;3631;25.70;55.00
2021-09-28 16:48:25;0;3636;25.70;54.70
2021-09-28 16:48:35;0;3636;25.70;54.00
2021-09-28 16:48:44;0;3631;25.70;53.50
2021-09-28 16:49:48;0;3622;25.60;53.20
2021-09-28 16:50:51;0;3598;25.60;54.50
2021-09-28 16:51:55;0;3571;25.60;54.10
2021-09-28 16:52:59;0;3554;25.60;54.40
2021-09-28 16:53:54;0;3464;25.60;54.20
2021-09-28 16:57:37;0;3403;25.70;52.50
2021-09-28 16:57:44;0;3445;25.70;54.10
2021-09-28 16:57:48;0;3399;25.70;55.00
2021-09-28 16:58:51;0;3382;25.70;55.20
2021-09-28 16:59:55;0;3373;25.70;53.10
2021-09-28 17:00:46;0;3294;25.70;53.40
2021-09-28 17:01:06;0;3324;25.70;54.50
2021-09-28 17:01:13;0;3338;25.80;53.20
2021-09-28 17:01:20;0;3320;25.70;52.80
2021-09-28 17:05:32;0;3258;25.70;52.80
2021-09-28 17:05:42;0;3251;25.80;53.10
2021-09-28 17:06:30;0;3255;25.80;53.50
2021-09-28 17:06:46;0;3269;25.80;51.50
2021-09-28 17:07:50;0;3248;25.70;52.70
2021-09-28 17:08:54;0;3176;25.80;53.10
2021-09-28 17:09:13;0;3172;25.80;52.90
2021-09-28 17:09:23;0;3178;25.80;53.00
2021-09-28 18:07:30;0;2075;25.80;53.30
2021-09-28 18:08:34;0;2028;25.50;60.60
2021-09-28 18:09:39;0;1972;25.50;60.70
2021-09-28 18:10:49;0;1629;25.50;60.50
2021-09-28 18:10:54;0;1631;25.60;62.80
2021-09-28 18:10:58;0;1631;25.60;64.00
2021-09-28 18:13:49;0;1483;25.60;61.80
2021-09-28 18:18:27;0;1188;25.80;61.10
2021-09-28 19:43:27;0;557;22.60;68.00
2021-09-28 19:43:32;0;546;22.80;69.90
2021-09-28 19:44:36;0;578;22.80;70.00
2021-09-28 19:45:39;0;557;23.00;68.00
2021-09-28 19:46:43;0;555;23.10;68.10
2021-09-28 19:47:47;0;560;23.30;67.20
2021-09-28 19:48:51;0;566;23.40;67.30
2021-09-28 19:49:54;0;537;23.50;67.00
2021-09-28 19:50:58;0;551;23.60;67.80
2021-09-28 19:51:35;0;546;23.70;66.50
2021-09-28 19:52:38;0;551;23.70;66.90
2021-09-28 19:58:26;0;550;23.80;66.20
2021-09-28 20:01:20;0;525;24.30;65.30
2021-09-28 20:02:31;0;500;24.50;64.70
2021-09-28 20:02:35;0;513;24.50;64.60
2021-09-28 20:03:38;0;543;24.50;64.70
2021-09-28 20:04:45;0;541;24.60;64.40
2021-09-28 20:05:48;0;558;24.60;64.40
